date,game_type,team,team_conf,opponent,venue,result,adj_o,adj_d,off_eff,efg,tov_pct,orb_pct,ftr,def_eff,opp_efg,opp_tov_pct,opp_orb_pct,opp_ftr,game_score,opp_conf,result_code,year,tempo,game_id,team_coach,opp_coach,spread,win_prob,unknown,team_score,opp_score,win,mov
2024-12-09,0,Abilene Christian,WAC,Baylor,A,"L, 88-57",96.0,114.0,86.7,36.4,15.2,27.0,41.8,133.8,66.1,13.7,35.7,27.1,12.2,B12,1,2025,65.8,Abilene ChristianBaylor12-9,Brette Tanner,Scott Drew,-15.3726,0.923095,0,57,88,False,-31
2024-12-09,0,Baylor,B12,Abilene Christian,H,"W, 88-57",136.6,98.0,133.8,66.1,13.7,35.7,27.1,86.7,36.4,15.2,27.0,41.8,97.8,WAC,2,2025,65.8,Abilene ChristianBaylor12-9,Scott Drew,Brette Tanner,15.3726,0.343338,4,88,57,True,31
2025-01-30,1,Abilene Christian,WAC,Cal Baptist,A,"L, 83-60",95.3,125.3,91.3,46.9,24.3,30.3,47.9,126.3,58.9,18.3,37.9,35.7,4.1,WAC,1,2025,65.7,Abilene ChristianCal Baptist1-30,Brette Tanner,Rick Croy,-11.9746,0.569415,1,60,83,False,-23
2025-01-30,1,Cal Baptist,WAC,Abilene Christian,H,"W, 83-60",129.8,102.0,126.3,58.9,18.3,37.9,35.7,91.3,46.9,24.3,30.3,47.9,94.1,WAC,2,2025,65.7,Abilene ChristianCal Baptist1-30,Rick Croy,Brette Tanner,11.9746,0.343338,4,83,60,True,23
2025-01-16,1,Abilene Christian,WAC,Grand Canyon,A,"L, 88-58",90.0,115.5,80.1,36.8,26.3,33.3,35.1,121.6,60.7,18.0,32.3,53.6,5.4,WAC,1,2025,72.4,Abilene ChristianGrand Canyon1-16,Brette Tanner,Bryce Drew,-13.0239,0.75977,0,58,88,False,-30
2025-01-16,1,Grand Canyon,WAC,Abilene Christian,H,"W, 88-58",123.0,91.8,121.6,60.7,18.0,32.3,53.6,80.1,36.8,26.3,33.3,35.1,96.7,WAC,2,2025,72.4,Abilene ChristianGrand Canyon1-16,Bryce Drew,Brette Tanner,13.0239,0.343338,5,88,58,True,30
2024-11-20,0,Abilene Christian,WAC,Kennesaw St.,A,"L, 84-78",113.1,111.6,107.1,50.0,9.6,20.0,50.8,115.3,62.2,26.1,31.8,100.0,53.8,CUSA,1,2025,72.9,Abilene ChristianKennesaw St.11-20,Brette Tanner,Antoine Pettway,-1.09042,0.662991,2,78,84,False,-6
2024-11-20,0,Kennesaw St.,CUSA,Abilene Christian,H,"W, 84-78",118.2,119.5,115.3,62.2,26.1,31.8,100.0,107.1,50.0,9.6,20.0,50.8,46.9,WAC,2,2025,72.9,Abilene ChristianKennesaw St.11-20,Antoine Pettway,Brette Tanner,1.09042,0.343338,4,84,78,True,6
2024-11-26,0,Abilene Christian,WAC,Montana St.,A,"L, 85-59",91.9,133.0,91.6,44.0,12.4,20.6,20.7,131.9,75.0,20.2,25.0,26.0,1.4,BSky,1,2025,64.4,Abilene ChristianMontana St.11-26,Brette Tanner,Matt Logie,-16.7018,0.517347,1,59,85,False,-26
2024-11-26,0,Montana St.,BSky,Abilene Christian,H,"W, 85-59",137.7,100.1,131.9,75.0,20.2,25.0,26.0,91.6,44.0,12.4,20.6,20.7,97.5,WAC,2,2025,64.4,Abilene ChristianMontana St.11-26,Matt Logie,Brette Tanner,16.7018,0.343338,1,85,59,True,26
2024-11-30,0,Abilene Christian,WAC,Nebraska Omaha,A,"W, 71-55",107.4,77.0,107.2,51.9,15.1,24.1,35.2,83.1,42.0,24.2,17.2,54.5,97.9,Sum,1,2025,66.2,Abilene ChristianNebraska Omaha11-30,Brette Tanner,Chris Crutchfield,11.4389,0.648584,0,71,55,True,16
2024-11-30,0,Nebraska Omaha,Sum,Abilene Christian,H,"L, 71-55",85.2,119.2,83.1,42.0,24.2,17.2,54.5,107.2,51.9,15.1,24.1,35.2,2.1,WAC,2,2025,66.2,Abilene ChristianNebraska Omaha11-30,Chris Crutchfield,Brette Tanner,-11.4389,0.343338,2,55,71,False,-16
2024-12-04,0,Abilene Christian,WAC,New Mexico St.,A,"W, 78-70",127.1,107.3,117.8,58.9,16.6,32.0,77.8,105.7,51.0,18.1,27.6,58.0,87.5,CUSA,1,2025,66.2,Abilene ChristianNew Mexico St.12-4,Brette Tanner,Jason Hooten,3.37006,0.714264,1,78,70,True,8
2024-12-04,0,New Mexico St.,CUSA,Abilene Christian,H,"L, 78-70",111.0,128.5,105.7,51.0,18.1,27.6,58.0,117.8,58.9,16.6,32.0,77.8,15.7,WAC,2,2025,66.2,Abilene ChristianNew Mexico St.12-4,Jason Hooten,Brette Tanner,-3.37006,0.343338,3,70,78,False,-8
2025-01-11,1,Abilene Christian,WAC,Seattle,A,"L, 66-64",106.6,102.2,98.4,52.6,21.5,34.4,12.1,101.5,46.0,21.5,35.3,58.0,61.9,WAC,1,2025,65.0,Abilene ChristianSeattle1-11,Brette Tanner,Chris Victor,1.89458,0.620683,1,64,66,False,-2
2025-01-11,1,Seattle,WAC,Abilene Christian,H,"W, 66-64",103.9,109.9,101.5,46.0,21.5,35.3,58.0,98.4,52.6,21.5,34.4,12.1,34.5,WAC,2,2025,65.0,Abilene ChristianSeattle1-11,Chris Victor,Brette Tanner,-1.89458,0.343338,3,66,64,True,2
2025-03-13,2,Abilene Christian,WAC,Seattle,N,"L, 69-63",90.2,97.0,85.6,38.6,23.1,40.9,25.8,93.7,50.0,23.1,20.0,72.3,30.3,WAC,1,2025,73.6,Abilene ChristianSeattle3-13,Brette Tanner,Chris Victor,-3.52667,0.548207,0,63,69,False,-6
2025-03-13,2,Seattle,WAC,Abilene Christian,N,"W, 69-63",98.6,93.0,93.7,50.0,23.1,20.0,72.3,85.6,38.6,23.1,40.9,25.8,66.3,WAC,2,2025,73.6,Abilene ChristianSeattle3-13,Chris Victor,Brette Tanner,3.52667,0.413519,1,69,63,True,6
2024-11-25,0,Abilene Christian,WAC,Southern Miss,N,"W, 82-74",122.4,120.3,123.1,54.3,18.0,44.4,85.1,111.1,56.1,18.0,28.1,65.3,54.9,SB,1,2025,66.6,Abilene ChristianSouthern Miss11-25,Brette Tanner,Jay Ladner,7.65583,0.205634,3,82,74,True,8
2024-11-25,0,Southern Miss,SB,Abilene Christian,N,"L, 82-74",115.0,135.7,111.1,56.1,18.0,28.1,65.3,123.1,54.3,18.0,44.4,85.1,13.0,WAC,2,2025,66.6,Abilene ChristianSouthern Miss11-25,Jay Ladner,Brette Tanner,-7.65583,0.413519,0,74,82,False,-8
2025-02-08,1,Abilene Christian,WAC,Southern Utah,A,"W, 84-70",116.8,100.2,114.5,59.8,13.6,10.3,41.1,95.4,49.0,30.0,41.7,55.8,85.3,WAC,1,2025,73.3,Abilene ChristianSouthern Utah2-8,Brette Tanner,Rob Jeter,15.1299,0.226077,2,84,70,True,14
2025-02-08,1,Southern Utah,WAC,Abilene Christian,H,"L, 84-70",95.0,130.4,95.4,49.0,30.0,41.7,55.8,114.5,59.8,13.6,10.3,41.1,2.6,WAC,2,2025,73.3,Abilene ChristianSouthern Utah2-8,Rob Jeter,Brette Tanner,-15.1299,0.343338,1,70,84,False,-14
2025-02-27,1,Abilene Christian,WAC,Tarleton St.,A,"L, 67-52",80.8,109.3,75.8,47.9,27.7,16.7,27.1,97.7,47.3,23.3,40.0,38.2,3.0,WAC,1,2025,68.6,Abilene ChristianTarleton St.2-27,Brette Tanner,Billy Gillespie,-7.54537,0.299745,0,52,67,False,-15
2025-02-27,1,Tarleton St.,WAC,Abilene Christian,H,"W, 67-52",100.5,84.6,97.7,47.3,23.3,40.0,38.2,75.8,47.9,27.7,16.7,27.1,87.9,WAC,2,2025,68.6,Abilene ChristianTarleton St.2-27,Billy Gillespie,Brette Tanner,7.54537,0.343338,6,67,52,True,15
2024-12-18,0,Abilene Christian,WAC,East Texas A&M,A,"L, 68-67",95.7,98.6,93.6,49.1,22.3,26.7,24.6,95.0,50.0,25.1,25.0,88.1,41.4,Slnd,1,2025,71.6,Abilene ChristianTexas A&M Commerce12-18,Brette Tanner,Jaret von Rosenberg,3.50583,0.367957,2,67,68,False,-1
2024-12-18,0,East Texas A&M,Slnd,Abilene Christian,H,"W, 68-67",97.2,104.5,95.0,50.0,25.1,25.0,88.1,93.6,49.1,22.3,26.7,24.6,30.1,WAC,2,2025,71.6,Abilene ChristianTexas A&M Commerce12-18,Jaret von Rosenberg,Brette Tanner,-3.50583,0.343338,3,68,67,True,1
2024-12-28,0,Abilene Christian,WAC,Texas A&M,A,"L, 92-54",94.8,116.5,78.0,41.3,30.3,28.6,25.0,132.9,66.0,26.0,61.5,56.6,8.6,SEC,1,2025,69.2,Abilene ChristianTexas A&M12-28,Brette Tanner,Buzz Williams,-16.131,0.936728,0,54,92,False,-38
2024-12-28,0,Texas A&M,SEC,Abilene Christian,H,"W, 92-54",133.4,90.9,132.9,66.0,26.0,61.5,56.6,78.0,41.3,30.3,28.6,25.0,98.8,WAC,2,2025,69.2,Abilene ChristianTexas A&M12-28,Buzz Williams,Brette Tanner,16.131,0.343338,3,92,54,True,38
2025-03-01,1,Abilene Christian,WAC,UT Arlington,A,"W, 70-59",97.1,85.2,101.7,44.0,20.3,38.9,36.2,85.7,45.7,23.3,29.7,24.1,81.9,WAC,1,2025,68.8,Abilene ChristianUT Arlington3-1,Brette Tanner,KT Turner,6.13749,0.409857,0,70,59,True,11
2025-03-01,1,UT Arlington,WAC,Abilene Christian,H,"L, 70-59",89.5,111.5,85.7,45.7,23.3,29.7,24.1,101.7,44.0,20.3,38.9,36.2,7.4,WAC,2,2025,68.8,Abilene ChristianUT Arlington3-1,KT Turner,Brette Tanner,-6.13749,0.343338,0,59,70,False,-11
2025-02-06,1,Abilene Christian,WAC,Utah Tech,A,"W, 86-72",114.2,100.1,118.3,58.0,13.8,20.7,44.6,99.0,55.6,26.1,25.0,33.3,81.9,WAC,1,2025,72.7,Abilene ChristianUtah Tech2-6,Brette Tanner,Jon Judkins,12.1716,0.266098,3,86,72,True,14
2025-02-06,1,Utah Tech,WAC,Abilene Christian,H,"L, 86-72",100.6,132.6,99.0,55.6,26.1,25.0,33.3,118.3,58.0,13.8,20.7,44.6,4.0,WAC,2,2025,72.7,Abilene ChristianUtah Tech2-6,Jon Judkins,Brette Tanner,-12.1716,0.343338,1,72,86,False,-14
2025-01-04,1,Abilene Christian,WAC,Utah Valley,A,"L, 64-53",79.0,85.6,73.2,33.1,26.2,34.1,37.3,88.4,48.0,23.5,21.2,53.1,28.3,WAC,1,2025,72.4,Abilene ChristianUtah Valley1-4,Brette Tanner,Todd Phillips,-4.34562,0.693669,0,53,64,False,-11
2025-01-04,1,Utah Valley,WAC,Abilene Christian,H,"W, 64-53",90.4,82.1,88.4,48.0,23.5,21.2,53.1,73.2,33.1,26.2,34.1,37.3,75.0,WAC,2,2025,72.4,Abilene ChristianUtah Valley1-4,Todd Phillips,Brette Tanner,4.34562,0.343338,4,64,53,True,11
2024-12-21,1,Air Force,MWC,Boise St.,A,"L, 77-59",101.1,106.0,91.4,63.1,27.9,13.0,31.0,119.2,56.5,18.6,35.7,38.9,36.7,MWC,1,2025,64.6,Air ForceBoise St.12-21,Joe Scott,Leon Rice,-7.57952,0.879711,1,59,77,False,-18
2024-12-21,1,Boise St.,MWC,Air Force,H,"W, 77-59",112.2,102.7,119.2,56.5,18.6,35.7,38.9,91.4,63.1,27.9,13.0,31.0,73.5,MWC,2,2025,64.6,Air ForceBoise St.12-21,Leon Rice,Joe Scott,7.57952,0.180387,3,77,59,True,18
2024-11-21,0,Air Force,MWC,California,A,"L, 78-69",106.0,113.4,104.5,61.8,24.2,25.0,21.6,118.1,57.7,22.7,43.3,51.9,31.6,ACC,1,2025,66.0,Air ForceCalifornia11-21,Joe Scott,Mark Madsen,-6.00383,0.669834,1,69,78,False,-9
2024-11-21,0,California,ACC,Air Force,H,"W, 78-69",113.8,114.1,118.1,57.7,22.7,43.3,51.9,104.5,61.8,24.2,25.0,21.6,49.2,MWC,2,2025,66.0,Air ForceCalifornia11-21,Mark Madsen,Joe Scott,6.00383,0.180387,3,78,69,True,9
2025-01-28,1,Air Force,MWC,Colorado St.,A,"L, 79-58",104.1,103.3,89.1,41.2,15.4,18.4,22.8,121.4,56.2,7.7,21.4,33.9,52.0,MWC,1,2025,65.1,Air ForceColorado St.1-28,Joe Scott,Niko Medved,-3.87748,0.905573,0,58,79,False,-21
2025-01-28,1,Colorado St.,MWC,Air Force,H,"W, 79-58",110.6,104.4,121.4,56.2,7.7,21.4,33.9,89.1,41.2,15.4,18.4,22.8,66.0,MWC,2,2025,65.1,Air ForceColorado St.1-28,Niko Medved,Joe Scott,3.87748,0.180387,1,79,58,True,21
2025-01-17,1,Air Force,MWC,Fresno St.,A,"L, 74-65",98.8,127.0,103.2,42.6,14.3,37.2,27.9,117.5,55.2,14.3,16.0,47.9,5.3,MWC,1,2025,63.0,Air ForceFresno St.1-17,Joe Scott,Vance Walberg,-10.8471,0.355971,0,65,74,False,-9
2025-01-17,1,Fresno St.,MWC,Air Force,H,"W, 74-65",116.4,108.8,117.5,55.2,14.3,16.0,47.9,103.2,42.6,14.3,37.2,27.9,68.6,MWC,2,2025,63.0,Air ForceFresno St.1-17,Vance Walberg,Joe Scott,10.8471,0.180387,3,74,65,True,9
2024-12-02,0,Air Force,MWC,Miami OH,A,"L, 73-60",101.5,111.0,96.5,59.6,20.9,13.8,27.7,117.5,60.4,14.5,26.9,28.3,26.5,MAC,1,2025,62.1,Air ForceMiami OH12-2,Joe Scott,Travis Steele,-3.14053,0.618161,1,60,73,False,-13
2024-12-02,0,Miami OH,MAC,Air Force,H,"W, 73-60",109.4,109.5,117.5,60.4,14.5,26.9,28.3,96.5,59.6,20.9,13.8,27.7,49.7,MWC,2,2025,62.1,Air ForceMiami OH12-2,Travis Steele,Joe Scott,3.14053,0.180387,0,73,60,True,13
2025-01-14,1,Air Force,MWC,Nevada,A,"L, 68-62",104.6,97.6,97.6,49.0,20.5,20.6,33.3,107.1,61.7,15.7,20.7,48.9,69.1,MWC,1,2025,63.5,Air ForceNevada1-14,Joe Scott,Steve Alford,1.60583,0.75997,2,62,68,False,-6
2025-01-14,1,Nevada,MWC,Air Force,H,"W, 68-62",99.8,110.4,107.1,61.7,15.7,20.7,48.9,97.6,49.0,20.5,20.6,33.3,23.8,MWC,2,2025,63.5,Air ForceNevada1-14,Steve Alford,Joe Scott,-1.60583,0.180387,3,68,62,True,6
2025-03-01,1,Air Force,MWC,New Mexico,A,"L, 92-71",105.8,112.3,92.9,51.8,26.2,30.3,33.9,120.3,56.2,15.7,29.4,39.1,33.3,MWC,1,2025,76.5,Air ForceNew Mexico3-1,Joe Scott,Richard Pitino,-11.9457,0.897776,2,71,92,False,-21
2025-03-01,1,New Mexico,MWC,Air Force,H,"W, 92-71",115.0,102.3,120.3,56.2,15.7,29.4,39.1,92.9,51.8,26.2,30.3,33.9,79.4,MWC,2,2025,76.5,Air ForceNew Mexico3-1,Richard Pitino,Joe Scott,11.9457,0.180387,2,92,71,True,21
2024-12-16,0,Air Force,MWC,Northern Colorado,A,"L, 81-76",103.7,110.0,106.6,51.8,8.4,11.1,60.0,113.6,57.5,18.2,26.9,43.4,33.6,BSky,1,2025,71.3,Air ForceNorthern Colorado12-16,Joe Scott,Steve Smiley,-8.64417,0.688341,3,76,81,False,-5
2024-12-16,0,Northern Colorado,BSky,Air Force,H,"W, 81-76",112.5,112.9,113.6,57.5,18.2,26.9,43.4,106.6,51.8,8.4,11.1,60.0,48.9,MWC,2,2025,71.3,Air ForceNorthern Colorado12-16,Steve Smiley,Joe Scott,8.64417,0.180387,2,81,76,True,5
2025-01-08,1,Air Force,MWC,San Diego St.,A,"L, 67-38",74.2,92.0,58.2,37.5,32.2,7.4,61.1,102.7,40.6,16.9,52.2,27.5,7.8,MWC,1,2025,65.2,Air ForceSan Diego St.1-8,Joe Scott,Brian Dutcher,-6.75127,0.854489,0,38,67,False,-29
2025-01-08,1,San Diego St.,MWC,Air Force,H,"W, 67-38",91.3,72.1,102.7,40.6,16.9,52.2,27.5,58.2,37.5,32.2,7.4,61.1,93.8,MWC,2,2025,65.2,Air ForceSan Diego St.1-8,Brian Dutcher,Joe Scott,6.75127,0.180387,6,67,38,True,29
2025-02-01,1,Air Force,MWC,San Jose St.,A,"L, 75-64",101.4,113.1,98.8,42.5,20.1,41.5,28.3,115.8,59.6,17.0,26.7,42.3,22.2,MWC,1,2025,64.8,Air ForceSan Jose St.2-1,Joe Scott,Tim Miles,-4.92612,0.574125,1,64,75,False,-11
2025-02-01,1,San Jose St.,MWC,Air Force,H,"W, 75-64",110.0,109.6,115.8,59.6,17.0,26.7,42.3,98.8,42.5,20.1,41.5,28.3,51.0,MWC,2,2025,64.8,Air ForceSan Jose St.2-1,Tim Miles,Joe Scott,4.92612,0.180387,4,75,64,True,11
2024-12-07,0,Air Force,MWC,Stony Brook,N,"W, 69-61",90.0,92.0,99.2,64.3,31.6,20.0,45.2,87.7,39.8,24.4,35.9,28.8,43.8,CAA,1,2025,69.5,Air ForceStony Brook12-7,Joe Scott,Geno Ford,5.10038,0.154234,1,69,61,True,8
2024-12-07,0,Stony Brook,CAA,Air Force,N,"L, 69-61",85.2,107.4,87.7,39.8,24.4,35.9,28.8,99.2,64.3,31.6,20.0,45.2,6.5,MWC,2,2025,69.5,Air ForceStony Brook12-7,Geno Ford,Joe Scott,-5.10038,0.228869,2,61,69,False,-8
