team,games,wins,losses,super_elo,mov_elo,off_efg_elo,off_tov_elo,off_orb_elo,off_ftr_elo,def_efg_elo,def_tov_elo,def_orb_elo,def_ftr_elo,rank
Duke,39,35,4,2011.726194142732,2011.7261941427312,1772.9858158043598,1656.5259276359852,1664.0203421273784,1538.5147877944917,1761.936964867643,1538.0872152303116,1629.207135391462,1655.558291143454,1
Auburn,38,32,6,1978.2491059515048,1978.249105951504,1740.8143617484677,1708.767583617829,1671.3414416216133,1550.5201776463534,1748.2506667142193,1583.4467761598964,1584.4488769909267,1466.394831529448,2
Houston,40,35,5,1970.9865121316795,1970.9865121316786,1627.2307207531164,1678.7618521651807,1764.220964492152,1415.8323158991225,1763.3530618515806,1729.3717629877506,1641.0666607201783,1499.6092975635297,3
Florida,40,36,4,1962.7786346002708,1962.7786346002697,1715.5239899868718,1608.5457397748926,1773.1127405721115,1559.7188603461157,1754.3509843885383,1529.7644449055458,1584.2936487503648,1570.8367138499261,4
Alabama,37,28,9,1925.8232458210368,1925.823245821036,1780.1203416313983,1559.7290169995072,1682.4053064404004,1656.0329638931526,1707.8034015158885,1413.1589406319645,1620.8281551014925,1542.285446006274,5
Tennessee,38,30,8,1901.0553178012365,1901.0553178012356,1639.8913335365712,1573.2885953434884,1713.6682787308648,1564.9682343876464,1780.7739164642894,1591.236883127893,1562.278204956852,1628.9379227756858,6
Gonzaga,35,26,9,1892.6289176525681,1892.6289176525672,1707.855228810818,1657.9469337065816,1614.294835336165,1474.129488301508,1671.796604630975,1546.0248808951208,1612.1448780898409,1565.9263715043162,7
Maryland,36,27,9,1881.3875523262338,1881.387552326233,1630.715759152002,1647.4314581219178,1559.0771310521736,1541.2270975243284,1692.1223842361921,1667.9026716561796,1547.9386271519488,1648.433185040476,8
Texas Tech,37,28,9,1877.3952758129794,1877.3952758129785,1686.6058690191255,1690.5283952382135,1685.565124045039,1439.7807919053273,1641.672293517307,1515.7304664626413,1639.6639732508463,1507.6911758291878,9
Arizona,37,24,13,1876.4006962868903,1876.4006962868893,1651.9246686125782,1618.5001936554036,1744.2579845180408,1572.7866819161052,1654.2631735874968,1517.7719627414826,1634.9830252210613,1542.8128919430085,10
Michigan St.,37,30,7,1868.2433163102396,1868.2433163102387,1580.9769831753927,1574.5108310520814,1687.7924399707847,1629.0770254425343,1725.2138045719714,1502.4869308899806,1678.0134618612765,1565.509780423795,11
Iowa St.,35,25,10,1867.8740241361638,1867.874024136163,1677.9834994184237,1547.0676931245362,1608.1800354987222,1602.478898896249,1624.6844673720584,1755.1113497836955,1616.8021370348665,1568.6261209473944,12
Illinois,35,22,13,1851.0718654995508,1851.0718654995496,1630.9117117408152,1612.5494529947287,1692.4112690832021,1569.9123264116101,1700.9947530126456,1341.696332593495,1628.9543316077886,1654.7600163907005,13
Kentucky,36,24,12,1846.8146669904806,1846.8146669904797,1750.9005227661946,1629.8466516409592,1489.1198274340586,1582.417827573468,1624.1731184542325,1408.1624539837833,1665.6395204580544,1595.3451664867741,14
St. John's,36,31,5,1844.9397197618996,1844.9397197618987,1510.143161222681,1570.6709424598982,1770.9780000583955,1495.945992804221,1718.6269683137405,1722.7923674905849,1520.1432265977976,1526.1824316493291,15
Purdue,36,24,12,1838.874975745453,1838.874975745452,1738.2481659735715,1631.8279783646306,1581.024336479321,1571.1666771739988,1570.2004042659416,1596.9766502192967,1579.0059806587478,1597.9803391272517,16
Wisconsin,37,27,10,1837.3790649321643,1837.3790649321634,1666.551909486154,1684.8657916663574,1482.6855313535016,1580.5925267214157,1666.12854326462,1434.9341167244393,1625.765631154444,1619.7600665111186,17
